"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
-2.826607942581177,-8.139776229858398,-1.364734292030334,2.0,6.0,19915.0,8.724,740373628.0,740373628.0
-20.07403564453125,-57.77461624145508,7.509832859039307,20.0,7.0,19916.0,61.622,740373630.0,740373630.0
-2.829676389694214,-8.139443397521973,-1.058069586753845,2.0,8.0,19917.0,8.682,740373633.0,740373633.0
-2.863104820251465,-8.23096752166748,-0.7624384164810181,6.0,10.0,19918.0,8.748,740373637.0,740373637.0
-9.075446128845215,-26.06113243103027,-1.44625186920166,5.0,12.0,19920.0,27.634,740373642.0,740373642.0
-2.104511737823486,-6.009541988372803,-1.706135153770447,22.0,0.0,19930.0,6.592000000000001,740373669.0,740373669.0
-20.9512825012207,-59.79401397705078,1.105924129486084,20.0,1.0,19931.0,63.368,740373672.0,740373672.0
-2.457705497741699,-7.010259628295898,-1.71502685546875,14.0,2.0,19932.0,7.624000000000001,740373674.0,740373674.0
-21.09939193725586,-60.18305206298828,3.342278718948364,33.0,3.0,19932.0,63.862,740373676.0,740373676.0
-2.973081588745117,-8.47555923461914,-1.745902299880981,14.0,4.0,19933.0,9.15,740373679.0,740373679.0
-21.51956558227539,-61.3129768371582,5.684994697570801,40.0,5.0,19934.0,65.228,740373681.0,740373681.0
-2.874639272689819,-8.185773849487305,-1.374120354652405,1.0,6.0,19935.0,8.784,740373683.0,740373683.0
-20.30585479736328,-57.79034423828125,7.521044731140137,20.0,7.0,19936.0,61.714,740373686.0,740373686.0
-2.863338232040405,-8.144498825073242,-1.060019493103027,1.0,8.0,19937.0,8.698,740373688.0,740373688.0
-2.900413751602173,-8.245356559753418,-0.7647044658660889,8.0,10.0,19938.0,8.774000000000001,740373693.0,740373693.0
-4.509210109710693,-12.80459690093994,-0.7114549875259399,1.0,12.0,19940.0,13.594,740373697.0,740373697.0
-2.124831199645996,-6.000338554382324,-1.705617547035217,26.0,0.0,19950.0,6.59,740373725.0,740373725.0
-20.97688674926758,-59.20405960083008,1.096360206604004,19.0,1.0,19951.0,62.82,740373727.0,740373727.0
-2.488672494888306,-7.020005226135254,-1.719525814056396,14.0,2.0,19952.0,7.644,740373729.0,740373729.0
-21.11847877502441,-59.57065200805664,3.312342643737793,32.0,3.0,19952.0,63.29,740373732.0,740373732.0
-3.005930423736572,-8.474381446838379,-1.747810363769531,14.0,4.0,19953.0,9.16,740373734.0,740373734.0
-21.5761890411377,-60.79436111450195,5.643857479095459,39.0,5.0,19954.0,64.756,740373736.0,740373736.0
-2.91112756729126,-8.198027610778809,-1.377874732017517,1.0,6.0,19955.0,8.808,740373739.0,740373739.0
-20.51011657714844,-57.72659301757812,7.522019386291504,20.0,7.0,19956.0,61.722,740373741.0,740373741.0
-2.898399591445923,-8.153158187866211,-1.062456965446472,2.0,8.0,19957.0,8.718,740373743.0,740373743.0
-2.941863775253296,-8.270848274230957,-0.7680163979530334,8.0,10.0,19958.0,8.812,740373748.0,740373748.0
-9.36838150024414,-26.30947303771973,-1.463627338409424,5.0,12.0,19960.0,27.966,740373752.0,740373752.0
